date,time,age,confirmed,deceased
3/2/2020,0,0s,32,0
3/2/2020,0,10s,169,0
3/2/2020,0,20s,1235,0
3/2/2020,0,30s,506,1
3/2/2020,0,40s,633,1
3/2/2020,0,50s,834,5
3/2/2020,0,60s,530,6
3/2/2020,0,70s,192,6
3/2/2020,0,80s,81,3
3/3/2020,0,0s,34,0
3/3/2020,0,10s,204,0
3/3/2020,0,20s,1417,0
3/3/2020,0,30s,578,1
3/3/2020,0,40s,713,1
3/3/2020,0,50s,952,5
3/3/2020,0,60s,597,7
3/3/2020,0,70s,224,9
3/3/2020,0,80s,93,5
3/4/2020,0,0s,34,0
3/4/2020,0,10s,233,0
3/4/2020,0,20s,1575,0
3/4/2020,0,30s,631,1
3/4/2020,0,40s,790,1
3/4/2020,0,50s,1051,5
3/4/2020,0,60s,646,7
3/4/2020,0,70s,260,12
3/4/2020,0,80s,108,6
3/5/2020,0,0s,38,0
3/5/2020,0,10s,257,0
3/5/2020,0,20s,1727,0
3/5/2020,0,30s,659,1
3/5/2020,0,40s,847,1
3/5/2020,0,50s,1127,5
3/5/2020,0,60s,699,8
3/5/2020,0,70s,288,13
3/5/2020,0,80s,124,7
3/6/2020,0,0s,45,0
3/6/2020,0,10s,292,0
3/6/2020,0,20s,1877,0
3/6/2020,0,30s,693,1
3/6/2020,0,40s,889,1
3/6/2020,0,50s,1217,5
3/6/2020,0,60s,763,11
3/6/2020,0,70s,340,14
3/6/2020,0,80s,168,10
3/7/2020,0,0s,52,0
3/7/2020,0,10s,327,0
3/7/2020,0,20s,2038,0
3/7/2020,0,30s,727,1
3/7/2020,0,40s,941,1
3/7/2020,0,50s,1287,5
3/7/2020,0,60s,830,11
3/7/2020,0,70s,384,14
3/7/2020,0,80s,191,12
3/8/2020,0,0s,58,0
3/8/2020,0,10s,360,0
3/8/2020,0,20s,2133,0
3/8/2020,0,30s,760,1
3/8/2020,0,40s,975,1
3/8/2020,0,50s,1349,5
3/8/2020,0,60s,878,11
3/8/2020,0,70s,409,18
3/8/2020,0,80s,212,14
3/9/2020,0,0s,66,0
3/9/2020,0,10s,381,0
3/9/2020,0,20s,2190,0
3/9/2020,0,30s,779,1
3/9/2020,0,40s,1005,1
3/9/2020,0,50s,1391,5
3/9/2020,0,60s,916,12
3/9/2020,0,70s,438,18
3/9/2020,0,80s,216,14
3/10/2020,0,0s,67,0
3/10/2020,0,10s,393,0
3/10/2020,0,20s,2213,0
3/10/2020,0,30s,789,1
3/10/2020,0,40s,1030,1
3/10/2020,0,50s,1416,5
3/10/2020,0,60s,929,13
3/10/2020,0,70s,454,19
3/10/2020,0,80s,222,15
3/11/2020,0,0s,75,0
3/11/2020,0,10s,405,0
3/11/2020,0,20s,2238,0
3/11/2020,0,30s,804,1
3/11/2020,0,40s,1082,1
3/11/2020,0,50s,1472,6
3/11/2020,0,60s,960,14
3/11/2020,0,70s,483,21
3/11/2020,0,80s,236,17
3/12/2020,0,0s,76,0
3/12/2020,0,10s,412,0
3/12/2020,0,20s,2261,0
3/12/2020,0,30s,812,1
3/12/2020,0,40s,1101,1
3/12/2020,0,50s,1495,6
3/12/2020,0,60s,972,14
3/12/2020,0,70s,497,24
3/12/2020,0,80s,243,20
3/13/2020,0,0s,77,0
3/13/2020,0,10s,421,0
3/13/2020,0,20s,2274,0
3/13/2020,0,30s,823,1
3/13/2020,0,40s,1117,1
3/13/2020,0,50s,1523,6
3/13/2020,0,60s,985,14
3/13/2020,0,70s,506,24
3/13/2020,0,80s,253,21
3/14/2020,0,0s,81,0
3/14/2020,0,10s,424,0
3/14/2020,0,20s,2287,0
3/14/2020,0,30s,833,1
3/14/2020,0,40s,1133,1
3/14/2020,0,50s,1551,6
3/14/2020,0,60s,999,14
3/14/2020,0,70s,515,27
3/14/2020,0,80s,263,23
3/15/2020,0,0s,83,0
3/15/2020,0,10s,427,0
3/15/2020,0,20s,2301,0
3/15/2020,0,30s,842,1
3/15/2020,0,40s,1141,1
3/15/2020,0,50s,1568,6
3/15/2020,0,60s,1012,14
3/15/2020,0,70s,525,28
3/15/2020,0,80s,263,25
3/16/2020,0,0s,85,0
3/16/2020,0,10s,432,0
3/16/2020,0,20s,2313,0
3/16/2020,0,30s,849,1
3/16/2020,0,40s,1147,1
3/16/2020,0,50s,1585,6
3/16/2020,0,60s,1024,14
3/16/2020,0,70s,531,28
3/16/2020,0,80s,270,25
3/17/2020,0,0s,86,0
3/17/2020,0,10s,436,0
3/17/2020,0,20s,2330,0
3/17/2020,0,30s,856,1
3/17/2020,0,40s,1164,1
3/17/2020,0,50s,1602,6
3/17/2020,0,60s,1033,16
3/17/2020,0,70s,539,29
3/17/2020,0,80s,274,28
3/18/2020,0,0s,87,0
3/18/2020,0,10s,438,0
3/18/2020,0,20s,2342,0
3/18/2020,0,30s,873,1
3/18/2020,0,40s,1171,1
3/18/2020,0,50s,1615,6
3/18/2020,0,60s,1059,16
3/18/2020,0,70s,542,29
3/18/2020,0,80s,286,31
3/19/2020,0,0s,91,0
3/19/2020,0,10s,444,0
3/19/2020,0,20s,2358,0
3/19/2020,0,30s,886,1
3/19/2020,0,40s,1181,1
3/19/2020,0,50s,1642,7
3/19/2020,0,60s,1080,17
3/19/2020,0,70s,562,34
3/19/2020,0,80s,321,31
3/20/2020,0,0s,97,0
3/20/2020,0,10s,452,0
3/20/2020,0,20s,2365,0
3/20/2020,0,30s,893,1
3/20/2020,0,40s,1193,1
3/20/2020,0,50s,1656,7
3/20/2020,0,60s,1099,17
3/20/2020,0,70s,568,35
3/20/2020,0,80s,329,33
3/21/2020,0,0s,99,0
3/21/2020,0,10s,457,0
3/21/2020,0,20s,2380,0
3/21/2020,0,30s,900,1
3/21/2020,0,40s,1203,1
3/21/2020,0,50s,1672,7
3/21/2020,0,60s,1118,17
3/21/2020,0,70s,589,37
3/21/2020,0,80s,381,39
3/22/2020,0,0s,101,0
3/22/2020,0,10s,460,0
3/22/2020,0,20s,2396,0
3/22/2020,0,30s,909,1
3/22/2020,0,40s,1221,1
3/22/2020,0,50s,1691,7
3/22/2020,0,60s,1132,17
3/22/2020,0,70s,595,37
3/22/2020,0,80s,392,41
3/23/2020,0,0s,103,0
3/23/2020,0,10s,460,0
3/23/2020,0,20s,2417,0
3/23/2020,0,30s,917,1
3/23/2020,0,40s,1228,1
3/23/2020,0,50s,1702,7
3/23/2020,0,60s,1139,18
3/23/2020,0,70s,599,38
3/23/2020,0,80s,396,46
3/24/2020,0,0s,105,0
3/24/2020,0,10s,468,0
3/24/2020,0,20s,2438,0
3/24/2020,0,30s,921,1
3/24/2020,0,40s,1234,1
3/24/2020,0,50s,1716,8
3/24/2020,0,60s,1146,20
3/24/2020,0,70s,608,38
3/24/2020,0,80s,401,52
3/25/2020,0,0s,105,0
3/25/2020,0,10s,475,0
3/25/2020,0,20s,2473,0
3/25/2020,0,30s,943,1
3/25/2020,0,40s,1246,1
3/25/2020,0,50s,1724,10
3/25/2020,0,60s,1154,20
3/25/2020,0,70s,611,39
3/25/2020,0,80s,406,55
3/26/2020,0,0s,106,0
3/26/2020,0,10s,488,0
3/26/2020,0,20s,2508,0
3/26/2020,0,30s,955,1
3/26/2020,0,40s,1252,1
3/26/2020,0,50s,1738,10
3/26/2020,0,60s,1162,20
3/26/2020,0,70s,616,41
3/26/2020,0,80s,416,58
3/27/2020,0,0s,108,0
3/27/2020,0,10s,496,0
3/27/2020,0,20s,2532,0
3/27/2020,0,30s,960,1
3/27/2020,0,40s,1256,1
3/27/2020,0,50s,1752,10
3/27/2020,0,60s,1170,21
3/27/2020,0,70s,630,41
3/27/2020,0,80s,428,65
3/28/2020,0,0s,109,0
3/28/2020,0,10s,501,0
3/28/2020,0,20s,2567,0
3/28/2020,0,30s,978,1
3/28/2020,0,40s,1278,1
3/28/2020,0,50s,1780,10
3/28/2020,0,60s,1201,21
3/28/2020,0,70s,632,41
3/28/2020,0,80s,432,70
3/29/2020,0,0s,111,0
3/29/2020,0,10s,508,0
3/29/2020,0,20s,2602,0
3/29/2020,0,30s,993,1
3/29/2020,0,40s,1292,1
3/29/2020,0,50s,1798,10
3/29/2020,0,60s,1210,21
3/29/2020,0,70s,635,43
3/29/2020,0,80s,434,76
3/30/2020,0,0s,112,0
3/30/2020,0,10s,513,0
3/30/2020,0,20s,2630,0
3/30/2020,0,30s,1002,1
3/30/2020,0,40s,1297,1
3/30/2020,0,50s,1812,10
3/30/2020,0,60s,1218,21
3/30/2020,0,70s,640,45
3/30/2020,0,80s,437,80
3/31/2020,0,0s,112,0
3/31/2020,0,10s,515,0
3/31/2020,0,20s,2656,0
3/31/2020,0,30s,1012,1
3/31/2020,0,40s,1312,1
3/31/2020,0,50s,1851,10
3/31/2020,0,60s,1235,22
3/31/2020,0,70s,651,46
3/31/2020,0,80s,442,82
4/1/2020,0,0s,116,0
4/1/2020,0,10s,519,0
4/1/2020,0,20s,2682,0
4/1/2020,0,30s,1027,1
4/1/2020,0,40s,1323,1
4/1/2020,0,50s,1865,10
4/1/2020,0,60s,1245,23
4/1/2020,0,70s,658,46
4/1/2020,0,80s,452,84
4/2/2020,0,0s,119,0
4/2/2020,0,10s,522,0
4/2/2020,0,20s,2704,0
4/2/2020,0,30s,1043,1
4/2/2020,0,40s,1336,2
4/2/2020,0,50s,1878,11
4/2/2020,0,60s,1258,23
4/2/2020,0,70s,663,47
4/2/2020,0,80s,453,85
4/3/2020,0,0s,121,0
4/3/2020,0,10s,528,0
4/3/2020,0,20s,2734,0
4/3/2020,0,30s,1052,1
4/3/2020,0,40s,1350,2
4/3/2020,0,50s,1887,12
4/3/2020,0,60s,1266,24
4/3/2020,0,70s,668,49
4/3/2020,0,80s,456,86
4/4/2020,0,0s,122,0
4/4/2020,0,10s,530,0
4/4/2020,0,20s,2761,0
4/4/2020,0,30s,1066,1
4/4/2020,0,40s,1358,2
4/4/2020,0,50s,1898,12
4/4/2020,0,60s,1282,25
4/4/2020,0,70s,678,50
4/4/2020,0,80s,461,87
4/5/2020,0,0s,124,0
4/5/2020,0,10s,535,0
4/5/2020,0,20s,2789,0
4/5/2020,0,30s,1083,1
4/5/2020,0,40s,1370,2
4/5/2020,0,50s,1904,13
4/5/2020,0,60s,1289,25
4/5/2020,0,70s,681,51
4/5/2020,0,80s,462,91
4/6/2020,0,0s,126,0
4/6/2020,0,10s,542,0
4/6/2020,0,20s,2804,0
4/6/2020,0,30s,1086,1
4/6/2020,0,40s,1375,2
4/6/2020,0,50s,1906,13
4/6/2020,0,60s,1294,26
4/6/2020,0,70s,686,52
4/6/2020,0,80s,465,92
4/7/2020,0,0s,126,0
4/7/2020,0,10s,544,0
4/7/2020,0,20s,2819,0
4/7/2020,0,30s,1092,1
4/7/2020,0,40s,1382,2
4/7/2020,0,50s,1909,13
4/7/2020,0,60s,1304,26
4/7/2020,0,70s,689,57
4/7/2020,0,80s,466,93
4/8/2020,0,0s,126,0
4/8/2020,0,10s,548,0
4/8/2020,0,20s,2832,0
4/8/2020,0,30s,1102,1
4/8/2020,0,40s,1387,3
4/8/2020,0,50s,1915,13
4/8/2020,0,60s,1312,27
4/8/2020,0,70s,692,60
4/8/2020,0,80s,470,96
4/9/2020,0,0s,128,0
4/9/2020,0,10s,552,0
4/9/2020,0,20s,2844,0
4/9/2020,0,30s,1109,1
4/9/2020,0,40s,1394,3
4/9/2020,0,50s,1917,13
4/9/2020,0,60s,1314,27
4/9/2020,0,70s,692,60
4/9/2020,0,80s,473,100
4/10/2020,0,0s,129,0
4/10/2020,0,10s,553,0
4/10/2020,0,20s,2851,0
4/10/2020,0,30s,1113,1
4/10/2020,0,40s,1396,3
4/10/2020,0,50s,1920,13
4/10/2020,0,60s,1320,28
4/10/2020,0,70s,694,62
4/10/2020,0,80s,474,101
4/11/2020,0,0s,130,0
4/11/2020,0,10s,558,0
4/11/2020,0,20s,2856,0
4/11/2020,0,30s,1115,1
4/11/2020,0,40s,1399,3
4/11/2020,0,50s,1926,14
4/11/2020,0,60s,1327,29
4/11/2020,0,70s,694,63
4/11/2020,0,80s,475,101
4/12/2020,0,0s,130,0
4/12/2020,0,10s,561,0
4/12/2020,0,20s,2869,0
4/12/2020,0,30s,1120,1
4/12/2020,0,40s,1400,3
4/12/2020,0,50s,1930,14
4/12/2020,0,60s,1330,31
4/12/2020,0,70s,697,63
4/12/2020,0,80s,475,102
4/13/2020,0,0s,132,0
4/13/2020,0,10s,562,0
4/13/2020,0,20s,2879,0
4/13/2020,0,30s,1122,1
4/13/2020,0,40s,1401,3
4/13/2020,0,50s,1932,14
4/13/2020,0,60s,1335,32
4/13/2020,0,70s,698,64
4/13/2020,0,80s,476,103
4/14/2020,0,0s,132,0
4/14/2020,0,10s,565,0
4/14/2020,0,20s,2886,0
4/14/2020,0,30s,1126,1
4/14/2020,0,40s,1405,3
4/14/2020,0,50s,1935,14
4/14/2020,0,60s,1338,33
4/14/2020,0,70s,700,65
4/14/2020,0,80s,477,106
4/15/2020,0,0s,132,0
4/15/2020,0,10s,569,0
4/15/2020,0,20s,2895,0
4/15/2020,0,30s,1131,1
4/15/2020,0,40s,1408,3
4/15/2020,0,50s,1937,14
4/15/2020,0,60s,1339,33
4/15/2020,0,70s,702,68
4/15/2020,0,80s,478,106
4/16/2020,0,0s,135,0
4/16/2020,0,10s,572,0
4/16/2020,0,20s,2900,0
4/16/2020,0,30s,1132,1
4/16/2020,0,40s,1410,3
4/16/2020,0,50s,1940,14
4/16/2020,0,60s,1341,33
4/16/2020,0,70s,703,68
4/16/2020,0,80s,480,110
4/17/2020,0,0s,136,0
4/17/2020,0,10s,576,0
4/17/2020,0,20s,2909,0
4/17/2020,0,30s,1135,1
4/17/2020,0,40s,1411,3
4/17/2020,0,50s,1942,14
4/17/2020,0,60s,1342,33
4/17/2020,0,70s,704,68
4/17/2020,0,80s,480,111
4/18/2020,0,0s,138,0
4/18/2020,0,10s,576,0
4/18/2020,0,20s,2918,0
4/18/2020,0,30s,1136,1
4/18/2020,0,40s,1412,3
4/18/2020,0,50s,1944,15
4/18/2020,0,60s,1343,33
4/18/2020,0,70s,705,68
4/18/2020,0,80s,481,112
4/19/2020,0,0s,138,0
4/19/2020,0,10s,578,0
4/19/2020,0,20s,2921,0
4/19/2020,0,30s,1137,2
4/19/2020,0,40s,1412,3
4/19/2020,0,50s,1945,15
4/19/2020,0,60s,1343,34
4/19/2020,0,70s,705,68
4/19/2020,0,80s,482,112
4/20/2020,0,0s,138,0
4/20/2020,0,10s,581,0
4/20/2020,0,20s,2926,0
4/20/2020,0,30s,1139,2
4/20/2020,0,40s,1412,3
4/20/2020,0,50s,1948,15
4/20/2020,0,60s,1343,34
4/20/2020,0,70s,705,69
4/20/2020,0,80s,482,113
4/21/2020,0,0s,138,0
4/21/2020,0,10s,582,0
4/21/2020,0,20s,2928,0
4/21/2020,0,30s,1139,2
4/21/2020,0,40s,1413,3
4/21/2020,0,50s,1951,15
4/21/2020,0,60s,1343,34
4/21/2020,0,70s,706,70
4/21/2020,0,80s,483,113
4/22/2020,0,0s,138,0
4/22/2020,0,10s,583,0
4/22/2020,0,20s,2931,0
4/22/2020,0,30s,1140,2
4/22/2020,0,40s,1417,3
4/22/2020,0,50s,1951,15
4/22/2020,0,60s,1344,34
4/22/2020,0,70s,707,71
4/22/2020,0,80s,483,113
4/23/2020,0,0s,138,0
4/23/2020,0,10s,584,0
4/23/2020,0,20s,2933,0
4/23/2020,0,30s,1141,2
4/23/2020,0,40s,1418,3
4/23/2020,0,50s,1952,15
4/23/2020,0,60s,1344,35
4/23/2020,0,70s,708,71
4/23/2020,0,80s,484,114
4/24/2020,0,0s,138,0
4/24/2020,0,10s,585,0
4/24/2020,0,20s,2934,0
4/24/2020,0,30s,1142,2
4/24/2020,0,40s,1418,3
4/24/2020,0,50s,1953,15
4/24/2020,0,60s,1345,35
4/24/2020,0,70s,708,71
4/24/2020,0,80s,485,114
4/25/2020,0,0s,139,0
4/25/2020,0,10s,586,0
4/25/2020,0,20s,2937,0
4/25/2020,0,30s,1143,2
4/25/2020,0,40s,1420,3
4/25/2020,0,50s,1953,15
4/25/2020,0,60s,1347,35
4/25/2020,0,70s,708,71
4/25/2020,0,80s,485,114
4/26/2020,0,0s,140,0
4/26/2020,0,10s,586,0
4/26/2020,0,20s,2940,0
4/26/2020,0,30s,1147,2
4/26/2020,0,40s,1421,3
4/26/2020,0,50s,1953,15
4/26/2020,0,60s,1347,35
4/26/2020,0,70s,708,72
4/26/2020,0,80s,485,115
4/27/2020,0,0s,140,0
4/27/2020,0,10s,588,0
4/27/2020,0,20s,2943,0
4/27/2020,0,30s,1152,2
4/27/2020,0,40s,1422,3
4/27/2020,0,50s,1953,15
4/27/2020,0,60s,1347,35
4/27/2020,0,70s,708,72
4/27/2020,0,80s,485,116
4/28/2020,0,0s,140,0
4/28/2020,0,10s,590,0
4/28/2020,0,20s,2948,0
4/28/2020,0,30s,1154,2
4/28/2020,0,40s,1423,3
4/28/2020,0,50s,1955,15
4/28/2020,0,60s,1348,35
4/28/2020,0,70s,709,73
4/28/2020,0,80s,485,116
4/29/2020,0,0s,140,0
4/29/2020,0,10s,590,0
4/29/2020,0,20s,2951,0
4/29/2020,0,30s,1156,2
4/29/2020,0,40s,1426,3
4/29/2020,0,50s,1956,15
4/29/2020,0,60s,1348,35
4/29/2020,0,70s,709,73
4/29/2020,0,80s,485,118
4/30/2020,0,0s,140,0
4/30/2020,0,10s,590,0
4/30/2020,0,20s,2952,0
4/30/2020,0,30s,1158,2
4/30/2020,0,40s,1427,3
4/30/2020,0,50s,1956,15
4/30/2020,0,60s,1348,35
4/30/2020,0,70s,709,74
4/30/2020,0,80s,485,118
5/1/2020,0,0s,140,0
5/1/2020,0,10s,590,0
5/1/2020,0,20s,2957,0
5/1/2020,0,30s,1159,2
5/1/2020,0,40s,1429,3
5/1/2020,0,50s,1956,15
5/1/2020,0,60s,1348,35
